source_excel_row,source_time,template_label,A_interval,B_civil_interval,B_is_next_day_periodic_equivalent
130,21:30,21:30-21:40,21:20-21:30,21:30-21:40,False
131,21:40,21:40-21:50,21:30-21:40,21:40-21:50,False
132,21:50,21:50-22:00,21:40-21:50,21:50-22:00,False
133,22:00,22:00-22:10,21:50-22:00,22:00-22:10,False
134,22:10,22:10-22:20,22:00-22:10,22:10-22:20,False
135,22:20,22:20-22:30,22:10-22:20,22:20-22:30,False
136,22:30,22:30-22:40,22:20-22:30,22:30-22:40,False
137,22:40,22:40-22:50,22:30-22:40,22:40-22:50,False
138,22:50,22:50-23:00,22:40-22:50,22:50-23:00,False
139,23:00,23:00-23:10,22:50-23:00,23:00-23:10,False
140,23:10,23:10-23:20,23:00-23:10,23:10-23:20,False
141,23:20,23:20-23:30,23:10-23:20,23:20-23:30,False
142,23:30,23:30-23:40,23:20-23:30,23:30-23:40,False
143,23:40,23:40-23:50,23:30-23:40,23:40-23:50,False
144,23:50,23:50-0:00+1,23:40-23:50,23:50-24:00,False
145,24:00,0:00+1-0:10+1,23:50-24:00,00:00-00:10,True
