date,scheme,alpha,kappa,initial_soc_kwh,final_soc_kwh,plan_purchase_kwh,emergency_kwh,charge_kwh,discharge_kwh,waste_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-07-03,2,0.83,0.875,5124.47072527818,5306.063709597982,76131.51186869881,7725.236943623406,20328.20038743208,16302.40862793216,70.5381194889602,46919.716302732064,46854.79707106447,93774.51337379654
2025-07-04,2,0.83,0.875,5306.063709597982,6913.537711086882,48632.80460723913,0.0,14743.401384541577,10495.428520138668,15503.96427616955,29374.130226730427,0.0,29374.130226730427
2025-07-05,2,0.83,0.875,6913.537711086882,6279.073382719287,42739.062171748825,0.0,16299.93922618651,13773.968668741916,11423.011647637562,25587.633227895974,0.0,25587.633227895974
2025-07-06,2,0.83,0.875,6279.073382719287,5792.6347062473305,76188.70735010706,7082.995812769976,19363.431347312006,16122.174200147492,236.46446571252216,47302.71475731791,46194.772751262644,93497.48750858055
2025-07-07,2,0.83,0.875,5792.6347062473305,7216.607904170735,91693.24549269085,0.0,18338.572752875727,13572.668051698278,13517.858024846748,58552.57178458388,0.0,58552.57178458388
2025-07-08,2,0.83,0.875,7216.607904170735,7766.129768796879,91145.66514696658,0.0,19607.595856913533,15387.582965936426,11354.265239322802,58582.56094765785,0.0,58582.56094765785
2025-07-09,2,0.83,0.875,7766.129768796879,7838.786462351316,89669.22797728592,0.0,18144.147327494986,14631.368311071947,12097.72394419622,57723.31545061142,0.0,57723.31545061142
2025-07-10,2,0.83,0.875,7838.786462351316,7206.817326195513,86042.64936478328,6.628093252421195,18594.469921297376,15630.292858791094,10231.477012196094,55094.731842079425,44.703174940954746,55139.43501702038
2025-07-11,2,0.83,0.875,7206.817326195513,8627.43679021714,51539.111571421396,0.0,15717.031936903219,11452.238351272143,14755.540835790323,32205.4298563683,0.0,32205.4298563683
2025-07-12,2,0.83,0.875,8627.43679021714,7805.125125166467,46896.322616785495,0.0,15346.43164342063,13170.69012971632,13636.337769747846,28954.75789549569,0.0,28954.75789549569
2025-07-13,2,0.83,0.875,7805.125125166467,6522.232954082869,80138.38850253214,111.62363479893861,18574.545363601803,16199.984698492692,8607.731072221963,50554.19131491827,753.2759786712072,51307.46729358948
2025-07-14,2,0.83,0.875,6522.232954082869,7139.316080507687,85219.38228793372,0.0,18998.65914127043,14833.539090646707,9246.583020643357,54024.4703694113,0.0,54024.4703694113
2025-07-15,2,0.83,0.875,7139.316080507687,7983.724583390427,85529.71317786467,0.0,19140.794116826608,14744.075582035082,8383.944059739828,54524.72917952579,0.0,54524.72917952579
2025-07-16,2,0.83,0.875,7983.724583390427,7883.843277239916,84746.25475660933,0.0,18364.374487813307,14965.03651066424,9212.353396126926,53984.77231199,0.0,53984.77231199
2025-07-17,2,0.83,0.875,7883.843277239916,7208.507926940498,81849.95678122513,0.0,20155.29146912152,16933.58790525791,5907.8371506948515,52123.59293120947,0.0,52123.59293120947
2025-07-18,2,0.83,0.875,7208.507926940498,8966.223703076537,51004.10420452562,0.0,15343.742278049484,10846.48704669765,15232.600873173786,31882.83312476876,0.0,31882.83312476876
2025-07-19,2,0.83,0.875,8966.223703076537,7825.779885722566,46505.34644925629,0.0,14760.570414121214,12982.461471056757,17544.418456191837,28861.114894341532,0.0,28861.114894341532
2025-07-20,2,0.83,0.875,7825.779885722566,6636.4621979679905,76457.07430967233,21.899484969502623,18820.55112166822,16315.032327530385,1883.4767838373393,48498.492536258906,152.77080714725028,48651.26334340616
2025-07-21,2,0.83,0.875,6636.4621979679905,7346.145898875865,83856.32358364605,0.0,20876.50111488649,16271.25057224097,5261.323691000545,52981.35335264256,0.0,52981.35335264256
2025-07-22,2,0.83,0.875,7346.145898875865,7590.939917788493,85303.18371276761,0.0,20108.4887923359,16067.561304770712,7467.111608535768,54151.7025302171,0.0,54151.7025302171
2025-07-23,2,0.83,0.875,7590.939917788493,7239.510059596364,83415.28112173892,0.0,20742.98588648163,17118.105440423038,5573.853559013677,52895.27604600376,0.0,52895.27604600376
2025-07-24,2,0.83,0.875,7239.510059596364,7605.945906004015,83732.2863248287,0.0,19879.620817800584,15772.700600651586,6008.894107679703,53135.107219277175,0.0,53135.107219277175
2025-07-25,2,0.83,0.875,7605.945906004015,9013.41746331762,51247.43222884838,0.0,15230.788201921909,11070.214041974501,20581.538502234307,32097.882742859438,0.0,32097.882742859438
2025-07-26,2,0.83,0.875,9013.41746331762,8016.038969828627,46820.0372874437,0.0,15470.580043093862,13428.810479046126,16309.1761567293,29091.92503886969,0.0,29091.92503886969
2025-07-27,2,0.83,0.875,8016.038969828627,6411.466699575353,76632.82874852992,1049.3889151031553,19937.827634909976,17593.75542750502,1652.9556562281361,48500.72477731565,6335.473358712081,54836.19813602773
2025-07-28,2,0.83,0.875,6411.466699575353,6972.483566156215,84899.76048775739,5.514407794248335,22375.437858656518,17619.189485589006,2194.1492891508,53547.83452258011,26.328540013638673,53574.16306259375
2025-07-29,2,0.83,0.875,6972.483566156215,7345.066568106001,87059.20283548029,14.563111329175058,20387.78158870916,16178.778385099615,6795.5167931999185,55215.97682523064,98.05342857933567,55314.03025380997
2025-07-30,2,0.83,0.875,7345.066568106001,7425.129873319454,86104.70502008733,0.0,19734.940835999994,15913.245102467892,8179.755236555233,54528.285964754774,0.0,54528.285964754774
2025-07-31,2,0.83,0.875,7425.129873319454,6911.08957634184,83500.58189068454,0.0,20215.666856912027,16837.326421378595,5427.245188484447,52815.94569157991,0.0,52815.94569157991
2025-08-01,2,0.82,0.875,6911.08957634184,8744.862912491115,50653.17870838074,0.0,14326.190066967301,9953.817951709167,25029.44692645594,31295.63463061559,0.0,31295.63463061559
2025-08-02,2,0.82,0.875,8744.862912491115,8010.980206928645,45205.90107490693,0.0,15112.685943953496,12901.770049608558,22067.960247228653,27812.23528160906,0.0,27812.23528160906
2025-08-03,2,0.82,0.875,8010.980206928645,5918.146979077526,70737.94361595446,671.3276099673194,16509.18322335166,15255.988315980841,7316.596335217631,44707.46349683071,4195.853089748817,48903.31658657952
2025-08-04,2,0.82,0.875,5918.146979077526,6615.783071041186,74148.11674785653,0.0,19089.632945985977,14834.730203481347,4477.558922018579,46899.77070745211,0.0,46899.77070745211
2025-08-05,2,0.82,0.875,6615.783071041186,6918.0411957824035,74367.67468213689,0.0,18637.93515100213,14824.695160044632,5402.124957846062,47289.44480282037,0.0,47289.44480282037
2025-08-06,2,0.82,0.875,6918.0411957824035,6115.943702618736,73799.50033622907,619.3667352964956,17953.01025644035,15263.826051563992,3615.28359998256,46876.73073695916,4320.702345428353,51197.43308238751
2025-08-07,2,0.82,0.875,6115.943702618736,6583.641596998405,74686.79185337,41.765580302804665,19585.287919207247,15443.15510961617,7198.439374081723,47269.91615340281,282.10923240831073,47552.02538581112
