date,history_start,history_end,risk_index,alpha,kappa,controller,risk_score_0,risk_score_1,risk_score_2,risk_score_3,risk_score_4,risk_score_5,greedy_score,mpc_score
2025-05-31,2025-05-03,2025-05-30,2,0.9,0.7,greedy,876142.5449128675,875172.1789088998,874639.068266509,880657.8274373586,876278.1000133269,887387.2898440388,879512.589888468,879947.0269322995
2025-06-07,2025-05-10,2025-06-06,0,0.8,1.0,mpc,1024960.9602955993,1025404.6290191787,1026833.6393367624,1030829.0644528744,1025399.2878836642,1029998.4986175713,1030621.906022781,1026398.939161029
2025-06-14,2025-05-17,2025-06-13,1,0.85,0.8,mpc,1149848.6766813511,1146596.2481104233,1146903.058626736,1154013.0345780714,1147561.0193602357,1156537.103646462,1153618.3973354606,1149395.4304737085
2025-06-21,2025-05-24,2025-06-20,1,0.85,0.8,mpc,1267580.2644030405,1264385.7561028716,1266056.720942651,1272093.0738566099,1266672.2358653843,1274271.1630861491,1271342.6840502936,1265538.6970346912
2025-06-28,2025-05-31,2025-06-27,4,0.95,0.6,mpc,1398750.1021411703,1392527.7732019005,1392808.6468819059,1398342.612641042,1391389.1314856065,1396516.3403317076,1399484.7011493226,1388049.851190527
2025-07-05,2025-06-07,2025-07-04,3,0.9,0.8,mpc,1415745.305041745,1412781.9629130806,1408132.596046392,1404380.3081818537,1409548.472325121,1410665.993009297,1415667.5628920512,1403861.1209089716
2025-07-12,2025-06-14,2025-07-11,3,0.9,0.8,mpc,1504555.1109794907,1501313.0801099646,1496434.55100273,1487156.0398614537,1493954.1168214835,1487556.458775106,1500480.1514777602,1486540.8619587417
2025-07-19,2025-06-21,2025-07-18,3,0.9,0.8,mpc,1533632.7091009717,1530509.904312293,1526474.914278806,1518198.8391055178,1529273.6298447985,1525097.3265908929,1534788.4225086013,1522427.1377302583
2025-07-26,2025-06-28,2025-07-25,3,0.9,0.8,mpc,1546430.0762008603,1545921.4884120289,1548395.0218976096,1544229.9774167754,1556642.2682335982,1556721.8186489588,1555638.8247193792,1548601.5025280744
2025-08-02,2025-07-05,2025-08-01,1,0.85,0.8,mpc,1530679.714682337,1522753.5675228469,1525057.8187075423,1533318.3931486276,1530744.3669891655,1544119.953905444,1533157.193925517,1531172.8679825428
