date,slot,period,price_yuan_per_kwh,load_kwh,pv_kwh,plan_purchase_kwh,charge_kwh,discharge_kwh,emergency_kwh,waste_kwh,soc_start_kwh,soc_end_kwh
2025-12-15,135,22:30-22:40,0.3509,571.9759833333334,0.0,1411.8026485609548,833.3333333333334,0.0,0.0,6.493331894288076,4425.937465974736,5175.937465974736
2025-12-15,136,22:40-22:50,0.3947,576.2036166666667,0.0,1400.2726712805488,824.0690546138821,0.0,0.0,0.0,5175.937465974736,5917.59961512723
2025-12-15,137,22:50-23:00,0.4708,578.4433333333333,0.0,560.0331304891641,0.0,18.410202844169135,0.0,0.0,5917.59961512723,5897.143834189264
2025-12-15,138,23:00-23:10,0.446,570.6441666666666,0.0,571.5369487084029,0.8927820417362682,0.0,0.0,0.0,5897.143834189264,5897.947338026827
2025-12-15,139,23:10-23:20,0.4262,577.6433499999999,0.0,573.0925304558441,0.0,4.550819544155843,0.0,0.0,5897.947338026827,5892.890871866654
2025-12-15,140,23:20-23:30,0.4572,595.9966666666667,0.0,568.3794674621306,0.0,27.617199204536064,0.0,0.0,5892.890871866654,5862.205094972725
2025-12-15,141,23:30-23:40,0.4748,594.3627166666666,0.0,593.4513687164736,0.0,0.9113479501930897,0.0,0.0,5862.205094972725,5861.192486139177
2025-12-15,142,23:40-23:50,0.4585,576.7070166666666,0.0,601.6809570074757,24.973940340809122,0.0,0.0,0.0,5861.192486139177,5883.669032445905
2025-12-15,143,23:50-24:00,0.413,562.5766666666667,0.0,1429.3792635312598,833.3333333333334,0.0,0.0,33.469263531259685,5883.669032445905,6633.669032445905
2025-12-16,0,00:00-00:10,0.3715,572.4185,0.0,1427.7599344732953,833.3333333333334,0.0,0.0,22.008101139961923,6633.669032445905,7383.669032445905
2025-12-16,1,00:10-00:20,0.4216,603.9423166666667,0.0,1459.0017690341283,833.3333333333334,0.0,0.0,21.72611903412826,7383.669032445905,8133.669032445905
2025-12-16,2,00:20-00:30,0.5027,627.9983333333333,0.0,649.2474573399708,21.24912400663743,0.0,0.0,0.0,8133.669032445905,8152.793244051879
2025-12-16,3,00:30-00:40,0.4653,613.2955000000001,0.0,626.7676956111328,13.472195611132747,0.0,0.0,0.0,8152.793244051879,8164.918220101898
2025-12-16,4,00:40-00:50,0.4453,602.0574,0.0,620.3560796834018,18.298679683401815,0.0,0.0,0.0,8164.918220101898,8181.38703181696
2025-12-16,5,00:50-01:00,0.4734,601.8249999999999,0.0,648.0184023166075,46.1934023166076,0.0,0.0,0.0,8181.38703181696,8222.961093901908
2025-12-16,6,01:00-01:10,0.4463,586.1623833333333,0.0,636.7030116208321,50.54062828749875,0.0,0.0,0.0,8222.961093901908,8268.447659360656
2025-12-16,7,01:10-01:20,0.4352,602.3496833333334,0.0,1444.2262969676483,833.3333333333334,0.0,0.0,8.543280300981564,8268.447659360656,9018.447659360656
2025-12-16,8,01:20-01:30,0.4442,635.9399999999999,0.0,1067.9865773093388,432.0465773093389,0.0,0.0,0.0,9018.447659360656,9407.28957893906
2025-12-16,9,01:30-01:40,0.4089,622.17165,0.0,1460.8530109233811,833.3333333333334,0.0,0.0,5.348027590047764,9407.28957893906,10157.28957893906
