date,selector,history_start,history_end,risk_index,controller,selected,combo,score,window_cost_yuan,window_emergency_kwh,initial_soc_kwh,final_soc_kwh,inventory_credit_yuan
2025-09-06,same_start,2025-08-09,2025-09-05,2,greedy,0,4,1284001.6636665529,1284116.134126607,4327.665229164276,8286.559543233072,8452.3824071513,114.470460054167
2025-09-06,same_start,2025-08-09,2025-09-05,2,mpc,1,5,1281731.7038405002,1281846.1743005544,4411.460402103302,8286.559543233072,8452.3824071513,114.470460054167
2025-09-06,same_start,2025-08-09,2025-09-05,3,greedy,0,6,1289598.5087851319,1289717.7580776794,3262.4859319096295,8286.559543233072,8459.305063790183,119.24929254762027
2025-09-06,same_start,2025-08-09,2025-09-05,3,mpc,0,7,1287945.4682110676,1288064.7175036152,3317.2886935258857,8286.559543233072,8459.305063790183,119.24929254762027
2025-09-06,same_start,2025-08-09,2025-09-05,4,greedy,0,8,1284808.310937377,1285057.3183075343,3188.447440113594,8286.559543233072,8647.273698104964,249.00737015733316
2025-09-06,same_start,2025-08-09,2025-09-05,4,mpc,0,9,1283681.9051522415,1283930.9125223989,3278.5115686379995,8286.559543233072,8647.273698104964,249.00737015733316
2025-09-06,same_start,2025-08-09,2025-09-05,5,greedy,0,10,1294346.3243233364,1294623.3298164199,2128.9661840017957,8286.559543233072,8687.832012675939,277.0054930835576
2025-09-06,same_start,2025-08-09,2025-09-05,5,mpc,0,11,1293286.60754057,1293563.6130336535,2187.3722191943034,8286.559543233072,8687.832012675939,277.0054930835576
2025-09-06,continuous,2025-08-09,2025-09-05,0,greedy,0,0,1291841.494993235,1291954.4841033388,6567.479348137045,8255.800069490262,8419.477037505698,112.98911010388379
2025-09-06,continuous,2025-08-09,2025-09-05,0,mpc,0,1,1286501.6203317437,1286614.6094418475,6930.196471596544,8255.800069490262,8419.477037505698,112.98911010388379
2025-09-06,continuous,2025-08-09,2025-09-05,1,greedy,0,2,1287933.6669303442,1288023.2748973127,6068.660103803344,8286.559543233072,8416.366392140382,89.6079669684688
2025-09-06,continuous,2025-08-09,2025-09-05,1,mpc,0,3,1282884.3814093217,1282973.9893762902,6288.585607412279,8286.559543233072,8416.366392140382,89.6079669684688
