date,day,risk_index,controller,plan_purchase_kwh,emergency_kwh,charge_kwh,discharge_kwh,waste_kwh,soc_start_kwh,soc_end_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-03-19,77,0,mpc,70036.85108929474,0.0,22500.2223685199,18242.76753720649,6313.925807981326,6708.016846831947,6688.475270492644,42430.722169574394,0.0,42430.722169574394
2025-03-20,78,0,mpc,67558.29776645417,437.24396572254966,20725.021869987926,17240.021746045808,2301.579791567937,6688.475270492644,6185.4152356530985,41510.960056235555,2409.0794645339065,43920.03952076946
2025-03-21,79,0,mpc,32529.767598707636,0.0,18456.02480752729,14514.615457091568,16554.893731605254,6185.4152356530985,6668.4870545481335,12618.383633264908,0.0,12618.383633264908
2025-03-22,80,0,mpc,31461.298704233006,0.0,19229.273255496977,15470.1404403595,11820.966155762195,6668.4870545481335,6785.788050762639,12232.56471678122,0.0,12232.56471678122
2025-03-23,81,0,mpc,67157.42790143499,10.53283011675876,21110.266854887584,17705.468008475123,4993.4417684726195,6785.788050762639,6112.28598852244,40707.3715464619,46.88800318441702,40754.25954964632
2025-03-24,82,0,mpc,68233.62224714109,0.0,20845.866934415586,16489.553511509293,5878.811740901453,6112.28598852244,6551.8401055972545,41405.06157683102,0.0,41405.06157683102
2025-03-25,83,0,mpc,66659.18657272418,0.0,22429.81017855292,18459.64112565169,1738.8928031562823,6551.8401055972545,6227.956904459666,40552.63146775712,0.0,40552.63146775712
2025-03-26,84,0,mpc,69183.63844714279,0.0,19814.79534034653,15625.159266698689,9401.447506828288,6227.956904459666,6699.984636661896,41565.83113969923,0.0,41565.83113969923
2025-03-27,85,0,mpc,65708.3239415644,0.0,20140.772221112937,16806.313852996027,3656.876173447493,6699.984636661896,6152.997576779067,39351.97445888544,0.0,39351.97445888544
2025-03-28,86,0,mpc,31349.090187868147,0.0,18373.981169378665,14306.749657906239,16459.977909729056,6152.997576779067,6793.192120435153,12075.499409145916,0.0,12075.499409145916
2025-03-29,87,0,mpc,30163.141266382117,0.0,17693.388981391254,14788.592490841535,19551.135592499064,6793.192120435153,6285.4727694189105,11552.790052522767,0.0,11552.790052522767
2025-03-30,88,0,mpc,62133.79254318592,0.0,21377.691003207477,17137.411601365406,2547.8934413438465,6285.4727694189105,6483.826226344079,36751.7600523085,0.0,36751.7600523085
2025-03-31,89,0,mpc,62591.23221002478,0.0,20083.81125586111,16233.82228520644,1789.8537560367706,6483.826226344079,6521.67603972303,37620.95666740481,0.0,37620.95666740481
2025-04-01,90,0,mpc,64689.77633498385,40.3767515443044,19398.23150359266,15978.988097393496,1102.058163662324,6521.67603972303,6225.653173630308,39670.40524544564,260.3374754564155,39930.74272090205
2025-04-02,91,0,mpc,69804.18956096948,759.1745426559276,21492.321210320046,17292.086003430646,5927.793496736,6225.653173630308,6355.31337021763,41914.14119035467,4005.3328800130193,45919.47407036769
2025-04-03,92,0,mpc,72012.66057086096,0.0,20893.215857446197,16902.56996003169,12158.484406779793,6355.31337021763,6378.574352995103,43095.06728463006,0.0,43095.06728463006
2025-04-04,93,0,mpc,29760.701413542614,0.0,16464.71785915205,12905.776707754303,19770.95801214487,6378.574352995103,6857.068528727171,11449.348806964626,0.0,11449.348806964626
2025-04-05,94,0,mpc,28654.308741308036,0.0,16423.189161948794,13933.90624134302,14120.910837368925,6857.068528727171,6155.820728544398,11184.202480590517,0.0,11184.202480590517
2025-04-06,95,0,mpc,67649.0124154287,0.0,20448.098944407495,16031.438320299538,8822.275524654078,6155.820728544398,6746.400533733876,40492.677454553734,0.0,40492.677454553734
2025-04-07,96,0,mpc,64016.006297259,0.0,19389.428744132187,15890.287894817422,7274.146164610902,6746.400533733876,6541.010964766823,37981.660866496066,0.0,37981.660866496066
