date,slot,period,actual_load_kwh,old_load_forecast_kwh,new_load_forecast_kwh,actual_pv_kwh,pv_forecast_kwh
2025-02-10,125,20:50-21:00,717.7233333333334,694.6235307374579,712.4774610674165,0.0,0.0
2025-02-10,126,21:00-21:10,719.9748666666666,730.3082493607869,716.3502909342783,0.0,0.0
2025-02-10,127,21:10-21:20,727.7013333333333,739.3664559048077,717.1551083807097,0.0,0.0
2025-02-10,128,21:20-21:30,743.8249999999999,727.2714343867035,724.6580208664959,0.0,0.0
2025-02-10,129,21:30-21:40,761.36775,742.4925742863842,739.4718555377343,0.0,0.0
2025-02-10,130,21:40-21:50,694.9440166666667,683.3015244484297,665.413293235728,0.0,0.0
2025-02-10,131,21:50-22:00,575.9316666666667,559.0817063855329,548.623068709753,0.0,0.0
2025-02-10,132,22:00-22:10,531.4930333333333,529.6954311709751,541.0983359977195,0.0,0.0
2025-02-10,133,22:10-22:20,527.8380666666667,546.481184230108,555.9122980459131,0.0,0.0
2025-02-10,134,22:20-22:30,531.8233333333334,563.8863217598009,546.6005441855083,0.0,0.0
2025-02-10,135,22:30-22:40,546.6270333333333,585.829198560764,553.2663187070001,0.0,0.0
2025-02-10,136,22:40-22:50,552.3535,575.7344492547135,555.6615205116665,0.0,0.0
2025-02-10,137,22:50-23:00,549.6716666666667,551.0566431370353,550.9773271304989,0.0,0.0
2025-02-10,138,23:00-23:10,558.9201833333333,575.3044765825741,558.7245929214844,0.0,0.0
2025-02-10,139,23:10-23:20,572.2638833333333,571.4664756869872,555.0439748800961,0.0,0.0
2025-02-10,140,23:20-23:30,582.33,516.4712376764168,549.0993477598216,0.0,0.0
2025-02-10,141,23:30-23:40,590.08605,532.8182503388864,570.2898112641321,0.0,0.0
2025-02-10,142,23:40-23:50,598.04145,569.6155533008605,556.0177163217044,0.0,0.0
2025-02-10,143,23:50-24:00,594.9499999999999,564.2142644433848,511.298297944146,0.0,0.0
2025-02-11,0,00:00-00:10,568.86225,545.30333690179,570.3797467272578,0.0,0.0
2025-02-11,1,00:10-00:20,559.3033333333334,565.4644175415523,579.1828312195016,0.0,0.0
2025-02-11,2,00:20-00:30,574.8166666666667,610.7737007173315,583.4838592855372,0.0,0.0
2025-02-11,3,00:30-00:40,583.3289833333333,555.1245771970778,576.9503904669241,0.0,0.0
2025-02-11,4,00:40-00:50,567.7726833333334,540.2266054324037,584.3521295342196,0.0,0.0
2025-02-11,5,00:50-01:00,548.3783333333333,586.1605910262961,602.5479924244439,0.0,0.0
2025-02-11,6,01:00-01:10,561.4999666666666,595.2280144238897,602.7740959811049,0.0,0.0
2025-02-11,7,01:10-01:20,577.4442166666666,585.6139433459994,596.8982635435931,0.0,0.0
2025-02-11,8,01:20-01:30,588.5816666666666,579.1613271356257,598.4397396311432,0.0,0.0
2025-02-11,9,01:30-01:40,613.4457166666667,609.2307679715224,606.8090908451435,0.0,0.0
2025-02-11,10,01:40-01:50,621.3904,610.6979726028187,602.0355028537826,0.0,0.0
2025-02-11,11,01:50-02:00,612.87,596.8466208002118,592.3970828647421,0.0,0.0
2025-02-11,12,02:00-02:10,620.4228166666667,597.6398320134712,606.3306279392124,0.0,0.0
2025-02-11,13,02:10-02:20,630.3895833333333,621.354423049954,621.7203856733869,0.0,0.0
2025-02-11,14,02:20-02:30,634.33,631.7616539970921,621.6198853500623,0.0,0.0
2025-02-11,15,02:30-02:40,638.1556833333333,614.116965482305,613.7215088478164,0.0,0.0
2025-02-11,16,02:40-02:50,636.7103666666667,625.4970108525536,629.1321016093113,0.0,0.0
2025-02-11,17,02:50-03:00,633.8066666666667,643.2119536808106,648.6222802949125,0.0,0.0
2025-02-11,18,03:00-03:10,638.6626333333334,581.0655650985847,624.804917519353,0.0,0.0
2025-02-11,19,03:10-03:20,635.70655,581.2073678328112,618.2302442333016,0.0,0.0
2025-02-11,20,03:20-03:30,632.4033333333333,637.3490972187182,639.8709036956918,0.0,0.0
2025-02-11,21,03:30-03:40,648.9820166666667,651.0955845751934,641.9324517740612,0.0,0.0
2025-02-11,22,03:40-03:50,642.10765,634.1506100010621,648.6906384731367,0.0,0.0
2025-02-11,23,03:50-04:00,616.8516666666667,623.9988342211074,667.56613673979,0.0,0.0
2025-02-11,24,04:00-04:10,624.8922,629.3689969378784,672.4497529640162,0.0,0.0
2025-02-11,25,04:10-04:20,646.73445,636.3438593598964,648.1056447810654,0.0,0.0
2025-02-11,26,04:20-04:30,664.4066666666666,646.1617392048017,630.4095066123615,0.0,0.0
2025-02-11,27,04:30-04:40,677.7325999999999,667.4774009960684,668.8823240482836,0.00016666666666666666,0.0
2025-02-11,28,04:40-04:50,678.10865,657.6641278677417,680.4176183562641,0.0,0.0
2025-02-11,29,04:50-05:00,665.9083333333333,626.9067866478179,657.2949504860587,0.0,0.0
2025-02-11,30,05:00-05:10,652.6285333333334,628.651720043552,671.0363022717976,0.0023333333333333335,0.0009751449911153831
2025-02-11,31,05:10-05:20,648.3324,656.2588591246288,676.2147682202447,0.0,0.00011015578653267328
2025-02-11,32,05:20-05:30,646.41,660.3198960901732,650.7257367642293,0.0,0.0
2025-02-11,33,05:30-05:40,643.7508,643.7233358149016,639.5054011134621,0.0325,0.013799860272302967
2025-02-11,34,05:40-05:50,711.1457,705.3501758086096,733.2434860216941,0.0,0.0015308923159815639
2025-02-11,35,05:50-06:00,827.5283333333333,815.8706301244806,865.6435608804667,0.0,0.0
2025-02-11,36,06:00-06:10,885.2288,846.033404799981,871.8359316460579,0.45265,0.1921750907452287
2025-02-11,37,06:10-06:20,874.1390333333334,846.4980562744644,858.3179896624503,0.0,0.021316031784235773
2025-02-11,38,06:20-06:30,853.7533333333334,834.3910462602641,872.1612274477121,0.0,0.0
2025-02-11,39,06:30-06:40,887.7669,829.267310765561,855.1677601365609,14.854516666666667,8.316573629993314
2025-02-11,40,06:40-06:50,886.2560666666667,820.8176044223424,842.6046543651079,47.38113333333334,36.851859447871135
2025-02-11,41,06:50-07:00,847.0633333333334,831.5596895550817,851.1643531471431,93.5625,81.49006315834504
2025-02-11,42,07:00-07:10,863.08865,865.2429392951251,860.7382227961527,143.64811666666665,125.4317195687625
