slot,source_endpoint,original_template_label,output_template_label,physical_interval,source_data_column_1based,output_excel_column_1based
126,21:10,21:10-21:20,21:10-21:20,21:00-21:10,128,128
127,21:20,21:20-21:30,21:20-21:30,21:10-21:20,129,129
128,21:30,21:30-21:40,21:30-21:40,21:20-21:30,130,130
129,21:40,21:40-21:50,21:40-21:50,21:30-21:40,131,131
130,21:50,21:50-22:00,21:50-22:00,21:40-21:50,132,132
131,22:00,22:00-22:10,22:00-22:10,21:50-22:00,133,133
132,22:10,22:10-22:20,22:10-22:20,22:00-22:10,134,134
133,22:20,22:20-22:30,22:20-22:30,22:10-22:20,135,135
134,22:30,22:30-22:40,22:30-22:40,22:20-22:30,136,136
135,22:40,22:40-22:50,22:40-22:50,22:30-22:40,137,137
136,22:50,22:50-23:00,22:50-23:00,22:40-22:50,138,138
137,23:00,23:00-23:10,23:00-23:10,22:50-23:00,139,139
138,23:10,23:10-23:20,23:10-23:20,23:00-23:10,140,140
139,23:20,23:20-23:30,23:20-23:30,23:10-23:20,141,141
140,23:30,23:30-23:40,23:30-23:40,23:20-23:30,142,142
141,23:40,23:40-23:50,23:40-23:50,23:30-23:40,143,143
142,23:50,23:50-0:00+1,23:50-0:00+1,23:40-23:50,144,144
143,0:00+1,0:00-0:10+1,0:00-0:10+1,23:50-24:00,145,145
