strategy,month,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,plan_purchase_kwh,savings_vs_layered_yuan,average_emergency_price
joint,2025-07,1658486.1835014638,108235.1548176454,1766721.3383191093,15391.113099630105,2337646.377072161,2694.7749450390693,7.0323149545465045
joint,2025-08,1401020.2307530663,45856.91532231893,1446877.1460753852,7094.591810462567,2037959.7796416527,528.4561723736115,6.463643934340609
joint,2025-09,1095929.0567436023,81195.27141869685,1177124.3281622992,14958.406470923086,1787794.1644555822,-158.5507862882223,5.428069599293773
joint,2025-10,1085721.5194433343,46962.463196889155,1132683.9826402233,8219.775334702012,1833436.8824644056,-139.4856863336172,5.713351190831746
joint,2025-11,1298164.8590343115,18004.67093406077,1316169.5299683723,3194.0583473551314,2053102.2665700945,99.09249227191322,5.63692612220741
joint,2025-12,1855900.733990705,67048.10882287033,1922948.8428135754,10717.184631663704,2650353.5417646836,4412.890386350453,6.256130796214713
official,2025-02,1252696.6101489058,51437.29836645555,1304133.9085153611,8676.634460282987,1981425.0446425912,0.0,5.928254624752041
official,2025-03,1104664.5000763515,28076.41652823128,1132740.9166045827,4838.9759322814425,1881951.5376207654,0.0,5.80214014724269
official,2025-04,898128.6611411009,27594.905686054128,925723.5668271551,4790.013862792617,1609694.443634186,0.0,5.760923971515622
official,2025-05,925534.2642961927,21072.634484337745,946606.8987805304,3825.395491127205,1615056.4976606572,4939.771087726345,5.508615915194799
official,2025-06,1371429.8065609618,137331.97395375153,1508761.7805147131,21961.562044276456,2106945.596962058,-2774.270489133196,6.253288071079739
official,2025-07,1658486.1835014638,108235.1548176454,1766721.3383191093,15391.113099630105,2337646.377072161,2694.7749450390693,7.0323149545465045
official,2025-08,1401020.2307530663,45856.91532231893,1446877.1460753852,7094.591810462567,2037959.7796416527,528.4561723736115,6.463643934340609
official,2025-09,1095929.0567436023,81195.27141869685,1177124.3281622992,14958.406470923086,1787794.1644555822,-158.5507862882223,5.428069599293773
official,2025-10,1085721.5194433343,46962.463196889155,1132683.9826402233,8219.775334702012,1833436.8824644056,-139.4856863336172,5.713351190831746
official,2025-11,1298164.8590343115,18004.67093406077,1316169.5299683723,3194.0583473551314,2053102.2665700945,99.09249227191322,5.63692612220741
official,2025-12,1855900.733990705,67048.10882287033,1922948.8428135754,10717.184631663704,2650353.5417646836,4412.890386350453,6.256130796214713
