date,history_start,history_end,selector,combo,risk_index,alpha,kappa,controller,best_score,runner_up_gap_yuan,combo_score_0,combo_score_1,combo_score_2,combo_score_3,combo_score_4,combo_score_5,combo_score_6,combo_score_7,combo_score_8,combo_score_9,combo_score_10,combo_score_11
2025-05-17,2025-04-19,2025-05-16,same_start,3,1,0.85,0.8,mpc,878306.7396391405,139.09350231580902,879917.9172079687,880736.7524926577,878550.694696924,878306.7396391405,879219.3150688296,878445.8331414564,882949.6866615462,881964.9187371208,879812.423000837,878665.5780071552,885486.2916299442,884861.1955819372
2025-05-24,2025-04-26,2025-05-23,same_start,9,4,0.95,0.6,mpc,892874.2632869991,92.9114424684085,893784.3624980258,894632.9436278703,893555.845926209,893314.9062816008,893740.6566568406,892967.1747294675,897788.2711210927,896803.5031966671,894021.1082806808,892874.2632869991,900139.8726669613,899514.7766189543
2025-05-31,2025-05-03,2025-05-30,same_start,4,2,0.9,0.7,greedy,874698.1417711253,504.723280612845,876024.0184477669,878317.1068529235,875202.8650517381,876773.5736447636,874698.1417711253,875899.3838715169,880628.3830887136,880721.6025591046,876278.1000133269,876269.5555978556,887284.0596320906,887302.5159660844
2025-06-07,2025-05-10,2025-06-06,same_start,9,4,0.95,0.6,mpc,1019900.3277540808,2730.9607567995554,1024881.9312732613,1022631.2885108803,1025369.16495248,1022670.3987774194,1026817.1293409643,1023375.1052791013,1030753.1562128268,1025086.36324453,1025399.2878836645,1019900.3277540808,1029947.9281959432,1024170.383893858
2025-06-14,2025-05-17,2025-06-13,same_start,9,4,0.95,0.6,mpc,1142062.0592306524,750.5411691474728,1149917.0389462188,1145894.2915726546,1146655.8060043103,1142812.6003997999,1146962.607446184,1142838.0407104546,1154041.8307282475,1148291.7200110536,1147561.019360236,1142062.0592306524,1156491.3011377915,1150713.7568357063
2025-06-21,2025-05-24,2025-06-20,same_start,3,1,0.85,0.8,mpc,1258961.530344511,1422.844025149243,1267559.803407802,1261912.7623586,1264385.7561028716,1258961.530344511,1266038.8816641602,1260576.7029898267,1272020.012618781,1265375.5406512178,1266643.9273229549,1260384.3743696602,1274176.7463322203,1268126.3216207852
2025-06-28,2025-05-31,2025-06-27,same_start,9,4,0.95,0.6,mpc,1380933.222638167,613.5849156428594,1398804.6650159268,1387180.2453679254,1392601.8962553632,1381546.8075538098,1392858.5922445417,1381732.3013800185,1398345.0359182658,1387491.7744502237,1391389.1314856068,1380933.222638167,1396452.573671621,1386487.2469995779
2025-07-05,2025-06-07,2025-07-04,same_start,5,2,0.9,0.7,mpc,1396181.1225567518,253.01078007160686,1415558.767179619,1402708.4518082154,1412726.026694143,1399663.7115220896,1408132.596046392,1396181.1225567518,1404246.5373436385,1396434.1333368234,1409632.7407011262,1399638.251637931,1410607.3299119177,1403683.0613762608
2025-07-12,2025-06-14,2025-07-11,same_start,7,3,0.9,0.8,mpc,1477226.7870739978,1090.1886217391584,1504650.9314338672,1487464.0532511044,1501401.9463513137,1484093.266780127,1496484.8096525795,1480424.7859469717,1487172.0386167518,1477226.7870739978,1493954.1168214835,1479403.393267783,1487516.1054403812,1478316.975695737
2025-07-19,2025-06-21,2025-07-18,same_start,7,3,0.9,0.8,mpc,1509133.7986560632,2649.813478856813,1533652.2926141068,1519008.4026293014,1530549.239776428,1515339.5978380798,1526506.0239019233,1511783.61213492,1518184.6889484483,1509133.7986560632,1529273.6298447985,1515483.4991148098,1525039.3385768216,1516113.0892415266
2025-07-26,2025-06-28,2025-07-25,same_start,3,1,0.85,0.8,mpc,1536161.8311989987,1366.3012768132612,1546446.4859565913,1537528.132475812,1545921.488412029,1536161.8311989987,1548380.5624298481,1538960.8619400472,1544171.871015904,1539462.7765960048,1556627.165482984,1547110.8166456264,1556655.3112196743,1551643.9638449869
2025-08-02,2025-07-05,2025-08-01,same_start,3,1,0.85,0.8,mpc,1518043.0847804719,2823.173548657447,1530452.361592014,1525366.79322803,1522639.9992632132,1518043.0847804719,1525006.903458478,1520866.2583291293,1533157.1939255171,1531172.867982543,1530744.3669891648,1526258.0363430688,1543998.948838471,1541716.6448538224
2025-08-09,2025-07-12,2025-08-08,same_start,3,1,0.85,0.8,mpc,1419624.9139585022,2266.6893178278115,1425992.0426416271,1423162.0864713057,1421891.60327633,1419624.9139585022,1424630.9421037317,1423259.668105679,1432796.6156040654,1432236.7653154228,1431916.4195439867,1431197.8224584672,1445548.7759735065,1445559.381672834
2025-08-16,2025-07-19,2025-08-15,same_start,9,4,0.95,0.6,mpc,1391514.6534263196,617.4892953564413,1409254.8372598202,1401218.402229311,1400805.6800281338,1394451.5667559819,1394747.9834946063,1392605.1419743572,1401618.7994297883,1400832.9857001537,1392132.142721676,1391514.6534263196,1404492.8832813394,1404503.4889806672
2025-08-23,2025-07-26,2025-08-22,same_start,9,4,0.95,0.6,mpc,1369730.298416906,1922.3494907247368,1395369.9820595183,1384679.2737102467,1386822.4651866835,1378056.6888649564,1376862.026513642,1372977.8255238226,1379433.5647994266,1377087.6876251628,1371652.6479076308,1369730.298416906,1378609.6045790429,1377560.4934956045
2025-08-30,2025-08-02,2025-08-29,same_start,9,4,0.95,0.6,mpc,1331811.0365164243,335.00310949026607,1348855.4860590508,1339999.8852716582,1342371.3576718383,1334685.0375121743,1335755.1785366389,1332146.0396259145,1340069.669615617,1337708.2571599446,1333725.9432314886,1331811.0365164243,1341350.0848407198,1340308.4165329419
2025-09-06,2025-08-09,2025-09-05,same_start,5,2,0.9,0.7,mpc,1281731.7038405002,1152.6775688214693,1291850.8027394996,1286510.9280780081,1287933.6669303442,1282884.3814093217,1284001.6636665529,1281731.7038405002,1289598.5087851319,1287945.4682110676,1284808.310937377,1283681.9051522415,1294346.3243233364,1293286.60754057
2025-09-13,2025-08-16,2025-09-12,same_start,1,0,0.8,1.0,mpc,1244693.7375119093,1943.3397065182216,1253747.9271297671,1244693.7375119093,1256736.8636556517,1246637.0772184276,1257514.2403843373,1248000.022328453,1254716.8057504639,1246665.3466050476,1258662.6159390553,1250670.6388290238,1256636.312072123,1249210.5179269263
