date,history_start,history_end,selector,combo,risk_index,alpha,kappa,controller,best_score,runner_up_gap_yuan,combo_score_0,combo_score_1,combo_score_2,combo_score_3,combo_score_4,combo_score_5,combo_score_6,combo_score_7,combo_score_8,combo_score_9,combo_score_10,combo_score_11
2025-05-17,2025-04-19,2025-05-16,continuous,3,1,0.85,0.8,mpc,878287.3549713489,141.85679491015617,879911.5409226522,880730.3762073416,878531.3100291324,878287.3549713489,879202.6936936323,878429.211766259,882963.4869379968,881978.7190135713,879812.423000837,878665.5780071551,885524.22092592,884899.1248779129
2025-05-24,2025-04-26,2025-05-23,continuous,9,4,0.95,0.6,mpc,892874.263286999,74.9130211523734,893746.8054224802,894595.3865523248,893512.3138070256,893271.3741624174,893722.6582355247,892949.1763081513,897797.1693424205,896812.401417995,894021.1082806808,892874.263286999,900173.8699824134,899548.7739344063
2025-05-31,2025-05-03,2025-05-30,continuous,4,2,0.9,0.7,greedy,874639.0682665089,533.1106423909077,876142.5449128674,878435.6333180241,875172.1789088998,876742.8875019252,874639.0682665089,875840.3103669009,880657.8274373588,880751.0469077495,876278.1000133267,876269.5555978555,887387.2898440387,887405.7461780325
2025-06-07,2025-05-10,2025-06-06,continuous,9,4,0.95,0.6,mpc,1019900.327754081,2805.535090037156,1024960.9602955993,1022710.3175332184,1025404.6290191787,1022705.8628441181,1026833.6393367623,1023391.6152748993,1030829.0644528745,1025162.2714845778,1025399.2878836645,1019900.327754081,1029998.4986175712,1024220.9543154858
2025-06-14,2025-05-17,2025-06-13,continuous,9,4,0.95,0.6,mpc,1142062.0592306524,690.9832752607763,1149848.6766813511,1145825.929307787,1146596.2481104233,1142753.0425059132,1146903.0586267363,1142778.4918910067,1154013.0345780714,1148262.9238608775,1147561.0193602357,1142062.0592306524,1156537.1036464616,1150759.5593443762
2025-06-21,2025-05-24,2025-06-20,continuous,3,1,0.85,0.8,mpc,1258961.5303445107,1451.1525675791781,1267580.2644030408,1261933.2233538383,1264385.7561028714,1258961.5303445107,1266056.7209426512,1260594.5422683177,1272093.07385661,1265448.601889047,1266672.2358653846,1260412.6829120899,1274271.1630861491,1268220.738374714
2025-06-28,2025-05-31,2025-06-27,continuous,9,4,0.95,0.6,mpc,1380933.2226381672,539.4618621799164,1398750.1021411705,1387125.682493169,1392527.7732019005,1381472.6845003471,1392808.6468819063,1381682.3560173828,1398342.612641042,1387489.351173,1391389.1314856065,1380933.2226381672,1396516.3403317076,1386551.0136596647
2025-07-05,2025-06-07,2025-07-04,continuous,5,2,0.9,0.7,mpc,1396181.1225567516,386.78161828708835,1415745.3050417448,1402894.9896703414,1412781.9629130808,1399719.6477410272,1408132.5960463923,1396181.1225567516,1404380.3081818537,1396567.9041750387,1409548.4723251213,1399553.983261926,1410665.993009297,1403741.72447364
2025-07-12,2025-06-14,2025-07-11,continuous,7,3,0.9,0.8,mpc,1477210.7883186995,1146.540711761918,1504555.1109794907,1487368.2327967277,1501313.0801099644,1484004.4005387775,1496434.55100273,1480374.5272971222,1487156.0398614537,1477210.7883186995,1493954.1168214837,1479403.3932677833,1487556.4587751064,1478357.3290304614
2025-07-19,2025-06-21,2025-07-18,continuous,7,3,0.9,0.8,mpc,1509147.9488131325,2604.5536986696534,1533632.7091009722,1518988.8191161668,1530509.9043122926,1515300.2623739447,1526474.914278806,1511752.5025118021,1518198.8391055174,1509147.9488131325,1529273.6298447985,1515483.4991148093,1525097.3265908936,1516171.0772555983
