date,period,slot,load_actual_kwh,load_forecast_kwh,pv_actual_kwh,pv_forecast_kwh,net_actual_kwh,net_forecast_kwh,safety_margin_kwh,net_error_kwh
2025-10-21,03:20-03:30,20,575.68,585.9078601855468,0.0,0.0,575.68,585.9078601855468,24.72464317942203,-10.227860185546888
2025-10-21,03:30-03:40,21,607.7022833333333,579.5785040145885,0.0,0.0,607.7022833333333,579.5785040145885,26.732341648093083,28.123779318744823
2025-10-21,03:40-03:50,22,612.5817833333333,586.3459914550648,0.0,0.0,612.5817833333333,586.3459914550648,29.12875453190358,26.235791878268515
2025-10-21,03:50-04:00,23,587.4399999999999,598.6689932619439,0.0,0.0,587.4399999999999,598.6689932619439,30.219250113602087,-11.22899326194397
2025-10-21,04:00-04:10,24,590.0303666666666,593.9859525577622,0.0,0.0,590.0303666666666,593.9859525577622,30.219250113602087,-3.955585891095552
2025-10-21,04:10-04:20,25,595.2232333333333,592.1151424147654,0.0,0.0,595.2232333333333,592.1151424147654,30.79781734421738,3.108090918567882
2025-10-21,04:20-04:30,26,603.4,601.1045085968474,0.0,0.0,603.4,601.1045085968474,33.11737278570678,2.295491403152596
2025-10-21,04:30-04:40,27,638.72145,608.169970893201,0.00036666666666666667,8.934605769400801e-05,638.7210833333334,608.1698815471433,38.45129467771547,30.551201786190063
2025-10-21,04:40-04:50,28,635.8521333333333,607.9690427373708,0.0,0.00017298767321539927,635.8521333333333,607.9688697496977,43.965930148903354,27.883263583635653
2025-10-21,04:50-05:00,29,595.5733333333333,601.17549383235,0.0,0.0,595.5733333333333,601.17549383235,46.087328736089205,-5.602160499016691
2025-10-21,05:00-05:10,30,591.6357666666667,594.3704059100902,0.005216666666666666,0.0018818649365871607,591.63055,594.3685240451537,45.818734865896474,-2.737974045153692
2025-10-21,05:10-05:20,31,631.72155,600.6751923398664,0.0,0.002457360291496351,631.72155,600.6727349795749,42.565413414090244,31.04881502042508
2025-10-21,05:20-05:30,32,662.5216666666666,601.5620321641937,0.0,0.0,662.5216666666666,601.5620321641937,41.9743589081442,60.95963450247291
2025-10-21,05:30-05:40,33,638.8858666666666,579.0918602207911,0.0726,0.026248582948352424,638.8132666666667,579.0656116378427,45.818734865896474,59.74765502882394
2025-10-21,05:40-05:50,34,711.3808333333333,643.0202699121959,0.0,0.03421126084047308,711.3808333333333,642.9860586513554,49.61441409840978,68.39477468197788
2025-10-21,05:50-06:00,35,831.9733333333334,761.9025485146833,0.0,0.0,831.9733333333334,761.9025485146833,68.36572790783937,70.07078481865005
2025-10-21,06:00-06:10,36,800.2601666666666,783.7325978091786,1.0111666666666665,0.3655619765154827,799.2489999999999,783.3670358326632,75.33350794899091,15.881964167336719
2025-10-21,06:10-06:20,37,788.2688833333333,765.7635989777386,0.0,0.7253763348267476,788.2688833333333,765.0382226429119,81.56557239766863,23.23066069042136
2025-10-21,06:20-06:30,38,833.685,763.6842742471629,2.24375,12.018069107285594,831.44125,751.6662051398773,86.94245054396497,79.77504486012265
2025-10-21,06:30-06:40,39,801.6034333333333,773.1572862918822,36.74173333333333,53.62515059884392,764.8617,719.5321356930383,91.68900947396867,45.32956430696174
2025-10-21,06:40-06:50,40,782.1058833333333,774.0281598047808,81.14946666666665,109.17467376823416,700.9564166666667,664.8534860365467,91.68900947396867,36.10293063012
2025-10-21,06:50-07:00,41,802.3116666666666,768.8281991034154,123.98125,164.92623844849257,678.3304166666666,603.9019606549228,90.96512892364319,74.42845601174372
2025-10-21,07:00-07:10,42,796.3395999999999,777.8135251617417,171.71093333333332,218.62694826480657,624.6286666666666,559.1865768969351,86.03677244165182,65.44208976973152
2025-10-21,07:10-07:20,43,808.8414666666665,787.9721350707557,226.67634999999999,272.6906284349901,582.1651166666666,515.2815066357656,91.68900947396867,66.88361003090097
2025-10-21,07:20-07:30,44,812.915,776.3391668124758,287.25,329.31215236597296,525.665,447.02701444650285,104.07318797770876,78.63798555349712
2025-10-21,07:30-07:40,45,755.4057166666666,754.6955706142057,350.0792666666667,388.82260954791764,405.32644999999997,365.8729610662881,116.6882825265645,39.45348893371187
2025-10-21,07:40-07:50,46,864.6400666666666,868.393225042569,415.6886666666667,449.0604817540073,448.9513999999999,419.33274328856174,125.9982962266724,29.618656711438177
2025-10-21,07:50-08:00,47,1085.2849999999999,1050.2288026581414,483.01249999999993,504.3649195537672,602.2724999999999,545.8638831043742,130.9392154643315,56.408616895625755
2025-10-21,08:00-08:10,48,1116.6041666666665,1072.9696979024973,545.7781,552.014964913676,570.8260666666665,520.9547329888213,134.9155705728223,49.8713336778452
2025-10-21,08:10-08:20,49,1090.4272333333333,1047.785556735498,588.6808666666666,611.3128489196695,501.74636666666675,436.47270781582847,143.13316761152515,65.27365885083827
2025-10-21,08:20-08:30,50,1105.9683333333332,1051.8525155477957,626.90625,677.5951003225731,479.06208333333325,374.25741522522264,145.16784674889897,104.8046681081106
2025-10-21,08:30-08:40,51,1118.5455,1050.5524313623685,693.0829333333332,727.0126230180912,425.4625666666667,323.5398083442773,146.00895740258431,101.92275832238943
2025-10-21,08:40-08:50,52,1089.7554166666666,1047.1356776501789,759.6953166666667,776.1704394064054,330.0600999999999,270.96523824377346,146.00895740258431,59.094861756226464
2025-10-21,08:50-09:00,53,1057.725,1052.4185919144504,805.6999999999999,833.537817412459,252.02499999999998,218.88077450199137,146.00895740258431,33.14422549800861
2025-10-21,09:00-09:10,54,1092.18105,1066.8706277542876,835.5626166666666,888.9616317879455,256.6184333333333,177.9089959663421,147.5139575672026,78.70943736699121
2025-10-21,09:10-09:20,55,1101.0018499999999,1064.1730642954667,867.4777666666666,932.7350145132402,233.52408333333324,131.43804978222647,147.34645788462726,102.08603355110677
2025-10-21,09:20-09:30,56,1069.9133333333332,1049.1822736543613,903.8249999999999,970.0686611737698,166.08833333333325,79.11361248059154,147.5139575672026,86.97472085274171
2025-10-21,09:30-09:40,57,1076.1488166666666,1050.9998794662674,935.6856833333333,1015.6543873014,140.4631333333333,35.34549216486744,148.15485988947745,105.11764116846587
2025-10-21,09:40-09:50,58,1088.2056833333331,1046.0705902825507,983.2530833333333,1063.9987143631774,104.95259999999985,-17.92812408062673,147.34645788462726,122.88072408062658
2025-10-21,09:50-10:00,59,1084.7333333333331,1036.1259948197974,1035.0124999999998,1111.1769874472222,49.7208333333333,-75.05099262742488,147.5139575672026,124.77182596075818
2025-10-21,10:00-10:10,60,1081.1864166666664,1047.0505064761962,1058.2651166666665,1156.4788342015624,22.921299999999974,-109.42832772536622,154.0974217822423,132.3496277253662
2025-10-21,10:10-10:20,61,1085.2476333333334,1047.7056048651364,1090.15095,1185.914117754971,-4.903316666666569,-138.20851288983454,152.43341484304003,133.30519622316797
2025-10-21,10:20-10:30,62,1092.8183333333332,1033.9796169765068,1135.5625,1204.0631229589037,-42.74416666666684,-170.0835059823969,144.35995883449206,127.33933931573006
2025-10-21,10:30-10:40,63,1094.2845166666666,1033.5536632242117,1161.9523166666665,1230.6465444272826,-67.66779999999994,-197.09288120307087,140.33098235366413,129.42508120307093
2025-10-21,10:40-10:50,64,1094.9978666666666,1035.1896674777763,1186.4174333333333,1258.5666297601701,-91.4195666666667,-223.37696228239383,140.33098235366413,131.95739561572714
2025-10-21,10:50-11:00,65,1089.8899999999999,1034.485695883499,1212.90625,1284.67386820877,-123.01625000000013,-250.18817232527113,138.73245778034556,127.171922325271
2025-10-21,11:00-11:10,66,1071.2556666666665,1039.2396890159391,1225.4902833333333,1312.2483789643543,-154.23461666666685,-273.00868994841517,126.67905202416046,118.77407328174831
2025-10-21,11:10-11:20,67,1075.3921666666665,1038.7991155163088,1232.6826333333333,1327.6054593059264,-157.29046666666682,-288.8063437896176,121.12764356565127,131.51587712295077
2025-10-21,11:20-11:30,68,1092.6616666666666,1036.9874137334273,1238.1687499999998,1333.0283856358155,-145.50708333333318,-296.04097190238826,119.75846279621217,150.53388856905508
2025-10-21,11:30-11:40,69,1073.3154666666665,1042.657629087167,1236.6151333333332,1346.0819694803895,-163.29966666666678,-303.42434039322256,119.75846279621217,140.12467372655578
2025-10-21,11:40-11:50,70,1035.0531666666666,1011.045757016989,1231.6934833333332,1364.2064855764456,-196.64031666666665,-353.16072855945663,120.20121990449766,156.52041189278998
2025-10-21,11:50-12:00,71,1002.1700000000001,960.3763058955027,1233.5625,1381.0645409942927,-231.39249999999993,-420.68823509878996,120.20121990449766,189.29573509879003
2025-10-21,12:00-12:10,72,986.0572,958.1438164975126,1252.4042,1390.741493524611,-266.347,-432.5976770270985,117.01276836274062,166.2506770270985
2025-10-21,12:10-12:20,73,989.19895,964.4817359382009,1281.0503999999999,1383.717247129904,-291.8514499999999,-419.23551119170315,117.01276836274062,127.38406119170327
2025-10-21,12:20-12:30,74,992.2533333333333,956.8222019951528,1285.3374999999999,1363.4501114342497,-293.08416666666653,-406.6279094390969,122.59561018379472,113.54374277243039
2025-10-21,12:30-12:40,75,974.9139333333333,957.4391781883791,1235.4910833333333,1342.157140500306,-260.5771500000001,-384.71796231192695,132.58094159922246,124.14081231192688
2025-10-21,12:40-12:50,76,988.9546,986.2418607042608,1205.9771333333333,1312.1018544896642,-217.02253333333329,-325.8599937854034,140.18914375048365,108.8374604520701
2025-10-21,12:50-13:00,77,1037.545,1020.9015940244193,1211.8687499999999,1273.9514808506099,-174.3237499999998,-253.04988682619057,140.18914375048365,78.72613682619078
2025-10-21,13:00-13:10,78,1065.7161999999998,1016.9424862319296,1198.0277666666666,1239.0796164763638,-132.31156666666675,-222.13713024443416,141.90947515538502,89.82556357776741
2025-10-21,13:10-13:20,79,1054.9909499999999,1004.6620227831027,1170.68865,1207.478150515357,-115.69770000000017,-202.81612773225424,139.34267239732702,87.11842773225408
2025-10-21,13:20-13:30,80,1035.0166666666667,1005.1279603044783,1139.0,1175.5124654188508,-103.98333333333335,-170.38450511437247,137.5874920106831,66.40117178103912
2025-10-21,13:30-13:40,81,1050.5229666666667,1010.3131104915273,1100.6884833333334,1142.326424317279,-50.16551666666669,-132.01331382575165,137.5874920106831,81.84779715908496
2025-10-21,13:40-13:50,82,1055.8415666666665,1009.782365812466,1060.9625833333332,1119.430095848115,-5.121016666666719,-109.64773003564892,137.5874920106831,104.5267133689822
2025-10-21,13:50-14:00,83,1035.5749999999998,1003.516716926695,1019.9187499999999,1092.3879490688735,15.656249999999886,-88.87123214217843,145.98476634385247,104.52748214217831
2025-10-21,14:00-14:10,84,1024.5796833333334,1000.1199042770224,972.5559333333333,1035.4801063548207,52.023750000000064,-35.36020207779825,153.23126839793875,87.38395207779831
2025-10-21,14:10-14:20,85,1043.4283333333333,999.8444657021646,922.4018166666666,991.4248265236309,121.02651666666668,8.419639178533657,160.57516271689008,112.60687748813302
2025-10-21,14:20-14:30,86,1059.94,1000.3469262029638,884.3249999999999,961.1926186479174,175.61500000000012,39.154307555046444,160.57516271689008,136.46069244495368
2025-10-21,14:30-14:40,87,1025.4896166666667,1000.1928015474155,870.2459333333333,903.0862388102354,155.24368333333348,97.10656273718007,147.9174096430005,58.13712059615341
2025-10-21,14:40-14:50,88,1015.8368499999999,1002.8512811224932,845.5716666666667,840.2963207243697,170.2651833333332,162.5549603981235,133.13287990301342,7.710222935209686
2025-10-21,14:50-15:00,89,1042.1983333333333,1006.321341315711,804.94375,786.7903937748129,237.25458333333324,219.53094754089818,111.21926439725257,17.72363579243506
2025-10-21,15:00-15:10,90,1040.7003166666666,1005.714353216078,773.7440166666667,735.2154424582105,266.95629999999994,270.4989107578675,95.85787245815524,-3.5426107578675783
2025-10-21,15:10-15:20,91,1030.6566666666665,1010.5778978651994,737.2669666666667,696.2831485147153,293.38969999999983,314.29474935048404,89.16304983668527,-20.905049350484205
2025-10-21,15:20-15:30,92,1027.21,1015.6007723505489,688.63125,661.9721129283107,338.57875,353.62865942223823,85.56523966355763,-15.049909422238215
2025-10-21,15:30-15:40,93,1024.1309166666665,1005.9838026971711,636.47385,610.0791123176332,387.65706666666654,395.9046903795379,78.74552006604672,-8.24762371287136
2025-10-21,15:40-15:50,94,1032.6210833333332,1002.1016414339413,578.6349166666666,554.9279156068287,453.9861666666666,447.17372582711255,73.19244537120304,6.812440839554029
2025-10-21,15:50-16:00,95,1041.6666666666665,1009.6589224144182,517.20625,499.9856552027385,524.4604166666666,509.6732672116797,72.53975486758581,14.787149454986888
2025-10-21,16:00-16:10,96,1026.2201,1013.9538102432936,458.1773333333333,435.0705083233278,568.0427666666667,578.8833019199658,71.91458293156546,-10.840535253299095
2025-10-21,16:10-16:20,97,1011.2676499999999,1013.4247631933017,394.9915166666666,375.5219712013078,616.2761333333333,637.9027919919939,62.19839407196318,-21.62665865866063
2025-10-21,16:20-16:30,98,1005.7533333333333,1012.2695008146328,328.5875,323.4718274893196,677.1658333333334,688.7976733253132,55.259462943124106,-11.63183999197986
2025-10-21,16:30-16:40,99,998.4834333333333,1014.410243572133,267.2645333333333,266.12831768839175,731.2189000000001,748.2819258837412,55.259462943124106,-17.063025883741147
2025-10-21,16:40-16:50,100,1010.8813166666666,1014.1320188571239,206.30801666666665,209.8754607972004,804.5733,804.2565580599235,55.259462943124106,0.3167419400765539
2025-10-21,16:50-17:00,101,1022.43,1010.5954695314192,146.4125,157.63859188469422,876.0174999999999,852.9568776467249,55.44055788438186,23.060622353274994
2025-10-21,17:00-17:10,102,989.0122666666666,1006.782260284755,93.7037,104.9300341619194,895.3085666666666,901.8522261228356,62.68582345999501,-6.543659456169053
2025-10-21,17:10-17:20,103,971.6338999999999,993.4814970590298,41.846383333333335,51.990997734635854,929.7875166666665,941.490499324394,62.34217446923644,-11.702982657727489
2025-10-21,17:20-17:30,104,1009.8416666666667,998.401215700063,2.58125,11.702581456490796,1007.2604166666667,986.6986342435722,49.46892399325188,20.56178242309454
2025-10-21,17:30-17:40,105,1057.83765,1037.0298198865014,0.0,0.8167185015885942,1057.83765,1036.2131013849128,39.65921646646319,21.62454861508718
2025-10-21,17:40-17:50,106,934.6588166666667,928.6572551560452,1.1394333333333333,0.38600019541789843,933.5193833333333,928.2712549606273,27.080413550665085,5.248128372705992
2025-10-21,17:50-18:00,107,722.7016666666666,735.8679985044798,0.0,0.0,722.7016666666666,735.8679985044798,6.637781811117392,-13.166331837813232
2025-10-21,18:00-18:10,108,696.0546833333333,717.6480892563321,0.0,0.039197859689343,696.0546833333333,717.6088913966428,0.0,-21.55420806330949
2025-10-21,18:10-18:20,109,715.9864333333333,753.1413771717636,0.0818,0.027714110981344492,715.9046333333332,753.1136630607822,0.0,-37.20902972744898
2025-10-21,18:20-18:30,110,694.1116666666667,752.7288825239024,0.0,0.0,694.1116666666667,752.7288825239024,0.0,-58.61721585723569
2025-10-21,18:30-18:40,111,686.6023333333333,748.8997711402861,0.0,0.0028154879080989153,686.6023333333333,748.896955652378,0.0,-62.29462231904472
2025-10-21,18:40-18:50,112,700.0788666666667,745.3037752259695,0.005866666666666667,0.0019872037299784894,700.0730000000001,745.3017880222395,0.0,-45.22878802223943
2025-10-21,18:50-19:00,113,714.8299999999999,745.7939962486262,0.0,0.0,714.8299999999999,745.7939962486262,0.0,-30.963996248626245
2025-10-21,19:00-19:10,114,710.2713666666666,755.8434590834541,0.0,0.00020212760098943904,710.2713666666666,755.8432569558531,0.0,-45.57189028918651
2025-10-21,19:10-19:20,115,709.9134,753.5188294533818,0.00041666666666666664,0.00013743095676087717,709.9129833333334,753.5186920224251,0.0,-43.60570868909167
2025-10-21,19:20-19:30,116,718.9616666666667,743.0487599666706,0.0,0.0,718.9616666666667,743.0487599666706,0.0,-24.087093300003858
2025-10-21,19:30-19:40,117,718.6854666666666,750.1387989452402,0.0,0.0,718.6854666666666,750.1387989452402,0.0,-31.453332278573612
2025-10-21,19:40-19:50,118,712.5957833333333,755.1277485346659,0.0,0.0,712.5957833333333,755.1277485346659,0.0,-42.53196520133258
2025-10-21,19:50-20:00,119,713.1616666666666,753.2310630023197,0.0,0.0,713.1616666666666,753.2310630023197,0.0,-40.069396335653096
2025-10-21,20:00-20:10,120,726.44845,758.8480687149506,0.0,0.0,726.44845,758.8480687149506,0.0,-32.399618714950634
2025-10-21,20:10-20:20,121,722.6385166666666,757.7819689102478,0.0,0.0,722.6385166666666,757.7819689102478,0.0,-35.14345224358112
2025-10-21,20:20-20:30,122,709.0383333333332,751.0806105549642,0.0,0.0,709.0383333333332,751.0806105549642,0.0,-42.042277221631025
2025-10-21,20:30-20:40,123,721.6734166666666,754.638639884112,0.0,0.0,721.6734166666666,754.638639884112,0.0,-32.96522321744533
2025-10-21,20:40-20:50,124,728.7256833333332,754.1034118153391,0.0,0.0,728.7256833333332,754.1034118153391,0.0,-25.377728482005864
2025-10-21,20:50-21:00,125,721.7366666666667,752.5327781071338,0.0,0.0,721.7366666666667,752.5327781071338,0.0,-30.796111440467143
2025-10-21,21:00-21:10,126,724.2123333333334,765.3706146012318,0.0,0.0,724.2123333333334,765.3706146012318,0.0,-41.15828126789836
2025-10-21,21:10-21:20,127,725.4609499999999,759.3756770195524,0.0,0.0,725.4609499999999,759.3756770195524,0.0,-33.914727019552515
2025-10-21,21:20-21:30,128,734.3233333333333,749.309208088468,0.0,0.0,734.3233333333333,749.309208088468,0.0,-14.985874755134773
2025-10-21,21:30-21:40,129,755.2522333333333,769.8772849010957,0.0,0.0,755.2522333333333,769.8772849010957,0.0,-14.625051567762398
2025-10-21,21:40-21:50,130,670.0734166666666,702.1316685431707,0.0,0.0,670.0734166666666,702.1316685431707,0.0,-32.05825187650407
2025-10-21,21:50-22:00,131,535.4866666666667,578.4637425706704,0.0,0.0,535.4866666666667,578.4637425706704,0.0,-42.977075904003755
2025-10-21,22:00-22:10,132,534.2656833333333,561.5857742102106,0.0,0.0,534.2656833333333,561.5857742102106,0.0,-27.320090876877316
2025-10-21,22:10-22:20,133,537.7894666666666,577.3926461623237,0.0,0.0,537.7894666666666,577.3926461623237,0.0,-39.60317949565706
2025-10-21,22:20-22:30,134,512.1899999999999,571.6789525144576,0.0,0.0,512.1899999999999,571.6789525144576,0.0,-59.48895251445765
2025-10-21,22:30-22:40,135,551.21075,567.4958452364071,0.0,0.0,551.21075,567.4958452364071,0.0,-16.285095236407187
2025-10-21,22:40-22:50,136,565.2005666666666,571.7450102308637,0.0,0.0,565.2005666666666,571.7450102308637,0.0,-6.544443564197081
2025-10-21,22:50-23:00,137,544.46,577.5387611531025,0.0,0.0,544.46,577.5387611531025,0.0,-33.078761153102505
2025-10-21,23:00-23:10,138,572.96415,574.6545930213441,0.0,0.0,572.96415,574.6545930213441,0.0,-1.6904430213440946
