date,period,slot,scheme,alpha,kappa,price_yuan_per_kwh,load_kwh,pv_kwh,plan_purchase_kwh,charge_kwh,discharge_kwh,emergency_kwh,waste_kwh,soc_start_kwh,soc_end_kwh
2025-08-12,13:30-13:40,81,2,0.82,0.875,0.8623,1192.7770666666665,1353.4573,0.0,0.0,0.0,0.0,160.6802333333335,10800.0,10800.0
2025-08-12,13:40-13:50,82,2,0.82,0.875,0.9026,1186.3546833333332,1336.7603333333332,0.0,0.0,0.0,0.0,150.40564999999992,10800.0,10800.0
2025-08-12,13:50-14:00,83,2,0.82,0.875,0.9754,1126.5583333333334,1281.725,0.0,0.0,0.0,0.0,155.16666666666652,10800.0,10800.0
2025-08-12,14:00-14:10,84,2,0.82,0.875,1.0002,1125.3508,1233.9952833333332,0.0,0.0,0.0,0.0,108.64448333333326,10800.0,10800.0
2025-08-12,14:10-14:20,85,2,0.82,0.875,0.9978,1176.9638666666665,1175.80965,0.0,0.0,1.1542166666665707,0.0,0.0,10800.0,10798.717537037037
2025-08-12,14:20-14:30,86,2,0.82,0.875,1.0271,1214.9666666666667,1108.40625,0.0,0.0,106.5604166666667,0.0,0.0,10798.717537037037,10680.317074074073
2025-08-12,14:30-14:40,87,2,0.82,0.875,1.0906,1180.1155833333332,1060.62815,0.0,0.0,119.48743333333323,0.0,0.0,10680.317074074073,10547.553259259259
2025-08-12,14:40-14:50,88,2,0.82,0.875,0.9376,1156.5756999999999,1028.7443333333333,0.0,0.0,127.83136666666655,0.0,0.0,10547.553259259259,10405.518407407408
2025-08-12,14:50-15:00,89,2,0.82,0.875,0.6694,1171.0933333333332,989.26875,166.29489202532812,0.0,15.52969130800517,0.0,0.0,10405.518407407408,10388.263194842957
2025-08-12,15:00-15:10,90,2,0.82,0.875,0.66,1175.6995,922.28055,364.65431243421574,111.23536243421574,0.0,0.0,0.0,10388.263194842957,10488.375021033751
2025-08-12,15:10-15:20,91,2,0.82,0.875,0.7217,1195.7011499999999,865.3136,263.8729103335062,0.0,66.51463966649374,0.0,0.0,10488.375021033751,10414.469865848758
2025-08-12,15:20-15:30,92,2,0.82,0.875,0.7308,1224.5366666666666,832.0249999999999,310.1789306916422,0.0,82.33273597502455,0.0,0.0,10414.469865848758,10322.98904809873
2025-08-12,15:30-15:40,93,2,0.82,0.875,0.7534,1220.9884833333333,800.69755,370.16458869235726,0.0,50.12634464097607,0.0,0.0,10322.98904809873,10267.293109608758
2025-08-12,15:40-15:50,94,2,0.82,0.875,0.7823,1208.9378833333333,761.9857333333332,428.64607760476395,0.0,18.30607239523613,0.0,0.0,10267.293109608758,10246.953029169606
2025-08-12,15:50-16:00,95,2,0.82,0.875,0.8055,1203.1299999999999,719.475,470.8294817378491,0.0,12.825518262150752,0.0,0.0,10246.953029169606,10232.702453322772
2025-08-12,16:00-16:10,96,2,0.82,0.875,0.8271,1198.4371333333333,678.7515833333333,505.9827000395669,0.0,13.702849960433127,0.0,0.0,10232.702453322772,10217.477064477847
2025-08-12,16:10-16:20,97,2,0.82,0.875,0.8519,1212.4518833333332,617.5284166666667,556.9790406219112,0.0,37.944426044755346,0.0,0.0,10217.477064477847,10175.316591094786
2025-08-12,16:20-16:30,98,2,0.82,0.875,0.8791,1230.4433333333332,547.15,624.6771077704346,0.0,58.616225562898535,0.0,0.0,10175.316591094786,10110.187451580454
2025-08-12,16:30-16:40,99,2,0.82,0.875,0.9024,1214.6786499999998,504.3182166666666,682.6842224234737,0.0,27.676210909859606,0.0,0.0,10110.187451580454,10079.436106125055
2025-08-12,16:40-16:50,100,2,0.82,0.875,0.9163,1187.9450166666666,465.71541666666667,736.2173292466304,13.987729246630465,0.0,0.0,0.0,10079.436106125055,10092.025062447023
2025-08-12,16:50-17:00,101,2,0.82,0.875,0.9264,1174.2883333333332,423.6125,786.9502433345888,36.274410001255546,0.0,0.0,0.0,10092.025062447023,10124.672031448154
2025-08-12,17:00-17:10,102,2,0.82,0.875,0.9462,1180.0023666666666,391.5382333333333,841.1727666378629,52.7086333045296,0.0,0.0,0.0,10124.672031448154,10172.10980142223
2025-08-12,17:10-17:20,103,2,0.82,0.875,0.9742,1198.2473833333333,345.3036833333333,884.7291244370413,31.78542443704123,0.0,0.0,0.0,10172.10980142223,10200.716683415567
2025-08-12,17:20-17:30,104,2,0.82,0.875,0.9862,1235.1283333333333,283.11249999999995,937.8508925811154,0.0,14.164940752217944,0.0,0.0,10200.716683415567,10184.977860357547
